Target,Variable,Method,Batch,evalt,Low Similarity Count,Novelty Error
target_CHEMBL240,logp,RF,1,sorted_fcv,18,0.493510101010101
target_CHEMBL240,logp,RF,2,sorted_fcv,14,0.7810937499999999
target_CHEMBL240,logp,RF,3,sorted_fcv,33,1.183859649122807
target_CHEMBL240,logp,RF,4,sorted_fcv,27,0.7893602693602693
target_CHEMBL240,logp,RF,5,sorted_fcv,19,0.843726315789474
target_CHEMBL240,logp,RF,6,sorted_fcv,9,1.105222222222222
target_CHEMBL240,logp,RF,7,sorted_fcv,16,0.7149625
target_CHEMBL240,logp,RF,8,sorted_fcv,3,0.6044000000000006
target_CHEMBL240,logp,RF,9,sorted_fcv,31,1.2949806451612904
target_CHEMBL240,logp,xgboost,1,sorted_fcv,18,0.5355633055555555
target_CHEMBL240,logp,xgboost,2,sorted_fcv,14,0.8172229071428572
target_CHEMBL240,logp,xgboost,3,sorted_fcv,33,1.2008869393939394
target_CHEMBL240,logp,xgboost,4,sorted_fcv,27,0.650408825925926
target_CHEMBL240,logp,xgboost,5,sorted_fcv,19,0.7235768157894737
target_CHEMBL240,logp,xgboost,6,sorted_fcv,9,1.2301395333333334
target_CHEMBL240,logp,xgboost,7,sorted_fcv,16,0.7688501062499999
target_CHEMBL240,logp,xgboost,8,sorted_fcv,3,0.3923824333333335
target_CHEMBL240,logp,xgboost,9,sorted_fcv,31,1.2656099064516129
target_CHEMBL240,logp,MLP,1,sorted_fcv,18,1.386141537314525
target_CHEMBL240,logp,MLP,2,sorted_fcv,14,0.9746668949623106
target_CHEMBL240,logp,MLP,3,sorted_fcv,33,1.7307696552102865
target_CHEMBL240,logp,MLP,4,sorted_fcv,27,1.0653537656138878
target_CHEMBL240,logp,MLP,5,sorted_fcv,19,0.8879980959124802
target_CHEMBL240,logp,MLP,6,sorted_fcv,9,0.968071452499661
target_CHEMBL240,logp,MLP,7,sorted_fcv,16,0.7805759854263907
target_CHEMBL240,logp,MLP,8,sorted_fcv,3,0.5399608532424356
target_CHEMBL240,logp,MLP,9,sorted_fcv,31,0.6175893529125226
target_CHEMBL260,logp,RF,1,sorted_fcv,35,1.1972738095238091
target_CHEMBL260,logp,RF,2,sorted_fcv,25,1.1385882352941177
target_CHEMBL260,logp,RF,3,sorted_fcv,18,0.853888888888889
target_CHEMBL260,logp,RF,4,sorted_fcv,12,0.9650173611111108
target_CHEMBL260,logp,RF,5,sorted_fcv,17,0.7076941176470593
target_CHEMBL260,logp,RF,6,sorted_fcv,17,1.0411647058823523
target_CHEMBL260,logp,RF,7,sorted_fcv,14,0.7775714285714282
target_CHEMBL260,logp,RF,8,sorted_fcv,23,0.8071913043478263
target_CHEMBL260,logp,RF,9,sorted_fcv,31,0.8824000000000005
target_CHEMBL260,logp,xgboost,1,sorted_fcv,35,1.3134642857142858
target_CHEMBL260,logp,xgboost,2,sorted_fcv,25,1.213816296
target_CHEMBL260,logp,xgboost,3,sorted_fcv,18,0.9452753055555556
target_CHEMBL260,logp,xgboost,4,sorted_fcv,12,1.0169356
target_CHEMBL260,logp,xgboost,5,sorted_fcv,17,0.7891719235294118
target_CHEMBL260,logp,xgboost,6,sorted_fcv,17,0.9869792294117647
target_CHEMBL260,logp,xgboost,7,sorted_fcv,14,0.979975628571429
target_CHEMBL260,logp,xgboost,8,sorted_fcv,23,0.7574024347826088
target_CHEMBL260,logp,xgboost,9,sorted_fcv,31,0.8256752580645164
